mean_overlapping_bboxes,class_acc,val_class_acc,loss_rpn_cls,loss_rpn_regr,val_loss_rpn_cls,val_loss_rpn_regr,loss_class_cls,loss_class_regr,val_loss_class_cls,val_loss_class_regr,curr_loss,val_curr_loss,elapsed_time,mAP
11.16,0.5820000000000001,0.596,1.8019999999999998,0.252,1.815,0.261,0.6759999999999999,0.41,0.67,0.415,3.141,3.161,4.4860000000000015,0.0
11.672,0.626,0.63,1.715,0.231,1.814,0.24600000000000002,0.655,0.385,0.6409999999999999,0.375,2.986,3.075,3.8789999999999996,0.0
11.331,0.6559999999999999,0.6629999999999999,1.785,0.239,1.9609999999999999,0.249,0.623,0.341,0.618,0.371,2.988,3.199,3.678,0.0
10.504000000000001,0.662,0.684,2.8810000000000002,0.272,3.245,0.271,0.6779999999999999,0.408,0.6559999999999999,0.387,4.239,4.56,3.9010000000000002,0.0
11.437,0.6579999999999999,0.6409999999999999,1.635,0.241,1.898,0.25,0.616,0.364,0.631,0.359,2.857,3.138,4.11,0.0
12.472,0.66,0.6709999999999999,1.911,0.232,1.92,0.24,0.615,0.364,0.615,0.34700000000000003,3.122,3.122,3.807,0.0
12.217,0.664,0.69,1.853,0.255,1.961,0.225,0.612,0.358,0.604,0.344,3.0780000000000003,3.134,3.744,0.0
11.75,0.6759999999999999,0.71,1.774,0.238,1.946,0.252,0.609,0.345,0.589,0.354,2.967,3.141,3.604,0.0
12.139,0.6829999999999999,0.708,1.508,0.251,1.92,0.232,0.599,0.334,0.5820000000000001,0.336,2.692,3.07,3.705,0.0
11.543,0.703,0.726,1.578,0.224,2.089,0.244,0.589,0.329,0.5660000000000001,0.334,2.719,3.233,3.658,0.0
13.108,0.72,0.726,1.3969999999999998,0.236,1.952,0.237,0.561,0.324,0.5589999999999999,0.321,2.517,3.069,3.664,0.0
12.013,0.6990000000000001,0.7440000000000001,1.73,0.229,1.869,0.232,0.5820000000000001,0.32,0.523,0.316,2.86,2.94,3.733,0.0
11.183,0.716,0.7240000000000001,1.561,0.236,2.107,0.225,0.5660000000000001,0.314,0.5589999999999999,0.303,2.677,3.194,3.779,0.0
11.803,0.71,0.732,1.6569999999999998,0.253,1.983,0.248,0.557,0.32,0.535,0.314,2.787,3.0810000000000004,3.742,0.0
12.073,0.706,0.7240000000000001,1.714,0.245,1.955,0.239,0.573,0.336,0.551,0.31,2.8680000000000003,3.056,4.2330000000000005,0.0
11.843,0.7120000000000001,0.743,1.581,0.23600000000000002,2.211,0.248,0.573,0.309,0.524,0.29100000000000004,2.699,3.275,4.006,0.0
11.325999999999999,0.711,0.74,1.66,0.233,1.8969999999999998,0.247,0.569,0.32299999999999995,0.5429999999999999,0.302,2.786,2.99,3.8139999999999996,0.0
11.417,0.726,0.74,1.483,0.22899999999999998,1.7469999999999999,0.226,0.547,0.32,0.534,0.301,2.58,2.807,3.8139999999999996,0.0
12.036,0.7390000000000001,0.738,1.432,0.22699999999999998,1.712,0.23,0.537,0.308,0.525,0.312,2.504,2.779,3.763,0.0
12.309000000000001,0.718,0.733,1.7009999999999998,0.258,1.8019999999999998,0.23800000000000002,0.551,0.304,0.529,0.304,2.8139999999999996,2.8739999999999997,3.7030000000000003,0.0
11.845999999999998,0.7490000000000001,0.748,1.442,0.235,1.9409999999999998,0.24,0.52,0.305,0.506,0.305,2.503,2.992,3.62,0.0
11.65,0.746,0.753,1.595,0.23199999999999998,1.9709999999999999,0.252,0.519,0.312,0.502,0.28300000000000003,2.659,3.008,3.68,0.0
12.634,0.7509999999999999,0.752,1.5219999999999998,0.245,1.712,0.237,0.512,0.31,0.511,0.298,2.589,2.758,3.81,0.0
10.814,0.752,0.759,1.4769999999999999,0.228,1.831,0.225,0.517,0.29,0.516,0.28800000000000003,2.512,2.859,3.7560000000000002,0.0
11.904000000000002,0.7559999999999999,0.763,1.4040000000000001,0.218,1.546,0.225,0.506,0.28,0.486,0.298,2.408,2.5540000000000003,3.767,0.0
11.232999999999999,0.769,0.76,1.3869999999999998,0.22399999999999998,1.5730000000000002,0.23600000000000002,0.485,0.29600000000000004,0.512,0.289,2.3930000000000002,2.61,3.7760000000000002,0.0
11.345,0.77,0.757,1.391,0.23600000000000002,1.734,0.23600000000000002,0.48200000000000004,0.27699999999999997,0.505,0.287,2.387,2.762,3.7239999999999998,0.0
12.03,0.764,0.772,1.265,0.22899999999999998,1.8659999999999999,0.251,0.495,0.294,0.479,0.259,2.282,2.855,3.813,0.0
12.061,0.778,0.768,1.4169999999999998,0.225,1.8530000000000002,0.24100000000000002,0.467,0.285,0.495,0.292,2.394,2.8810000000000002,3.844,0.0
11.883,0.75,0.76,1.6640000000000001,0.23600000000000002,1.607,0.21899999999999997,0.513,0.289,0.51,0.27899999999999997,2.7030000000000003,2.614,3.8289999999999997,0.0
12.21,0.774,0.7609999999999999,1.361,0.21899999999999997,1.496,0.22,0.478,0.28300000000000003,0.496,0.285,2.342,2.497,3.843,0.0
12.181,0.7609999999999999,0.76,1.264,0.226,1.7519999999999998,0.23199999999999998,0.494,0.28800000000000003,0.5,0.293,2.272,2.7769999999999997,3.8339999999999996,0.0
12.735999999999999,0.7759999999999999,0.782,1.1540000000000001,0.21600000000000003,1.915,0.23199999999999998,0.475,0.298,0.46799999999999997,0.28,2.144,2.895,3.786,0.0
11.453,0.764,0.782,1.22,0.215,1.922,0.24600000000000002,0.48,0.28300000000000003,0.48200000000000004,0.264,2.198,2.9139999999999997,3.8339999999999996,0.0
11.748,0.7809999999999999,0.764,1.455,0.226,1.742,0.23600000000000002,0.467,0.26899999999999996,0.484,0.3,2.418,2.762,3.883,0.0
11.992,0.778,0.774,1.4609999999999999,0.226,1.7,0.218,0.47700000000000004,0.28600000000000003,0.499,0.28600000000000003,2.451,2.7030000000000003,3.86,0.0
12.105,0.7879999999999999,0.782,1.245,0.225,1.605,0.218,0.479,0.27399999999999997,0.465,0.281,2.2230000000000003,2.569,3.846,0.0
12.058,0.782,0.762,1.3419999999999999,0.225,1.62,0.231,0.47200000000000003,0.278,0.48100000000000004,0.267,2.3169999999999997,2.5989999999999998,3.8569999999999998,0.0
