mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
3.647,0.6970000000000001,1.732,0.244,0.583,0.33299999999999996,2.891,25.284000000000002,0.0
3.812,0.767,1.5719999999999998,0.23399999999999999,0.49,0.293,2.589,25.366,0.0
3.8930000000000002,0.792,1.459,0.22699999999999998,0.455,0.282,2.423,25.250999999999998,0.0
3.813,0.769,2.182,0.258,0.528,0.335,3.303,26.315,0.0
3.923,0.809,1.787,0.231,0.457,0.29100000000000004,2.765,26.585,0.0
4.0169999999999995,0.825,1.575,0.21600000000000005,0.439,0.27899999999999997,2.508,26.939,0.0
4.0360000000000005,0.84,1.446,0.207,0.415,0.26,2.329,27.436,0.0
4.058,0.8420000000000001,1.432,0.198,0.408,0.248,2.285,27.732,0.0
4.132,0.846,1.349,0.193,0.406,0.23800000000000002,2.185,28.401,0.0
4.064,0.861,1.295,0.184,0.384,0.228,2.0909999999999997,29.372,0.0
4.124,0.861,1.2670000000000001,0.177,0.387,0.22399999999999998,2.056,29.849,0.0
4.141,0.866,1.224,0.17300000000000001,0.379,0.217,1.993,29.872,0.0
4.052,0.8759999999999999,1.176,0.17,0.366,0.20800000000000002,1.92,29.930999999999997,0.0
4.091,0.883,1.092,0.155,0.327,0.19,1.764,26.279,0.0
4.092,0.8909999999999999,0.99,0.147,0.309,0.182,1.6269999999999998,26.646,0.0
4.134,0.893,0.948,0.14300000000000002,0.314,0.17800000000000002,1.582,26.908,0.0
4.112,0.897,0.914,0.14,0.302,0.171,1.527,27.545,0.0
4.075,0.897,0.903,0.13699999999999998,0.309,0.17,1.518,28.128,0.0
4.063,0.9,0.915,0.135,0.303,0.17,1.523,27.84,0.0
4.138,0.901,0.84,0.133,0.293,0.16399999999999998,1.43,27.413,0.0
4.12,0.903,0.8390000000000001,0.129,0.289,0.162,1.419,25.476,0.0
4.158,0.904,0.747,0.127,0.293,0.161,1.328,25.176,0.0
4.127,0.9059999999999999,0.688,0.126,0.29100000000000004,0.161,1.265,24.838,0.0
4.073,0.904,0.64,0.124,0.282,0.155,1.2,26.693,0.0
4.083,0.9079999999999999,0.5870000000000001,0.122,0.282,0.158,1.15,27.641,0.0
4.032,0.904,0.597,0.11900000000000001,0.298,0.156,1.17,28.435,0.0
4.0489999999999995,0.9079999999999999,0.534,0.11800000000000001,0.285,0.152,1.089,29.344,0.0
4.01,0.9079999999999999,0.556,0.11699999999999999,0.28800000000000003,0.151,1.113,30.156,0.0
4.032,0.912,0.54,0.115,0.27699999999999997,0.151,1.083,30.877,0.0
4.024,0.91,0.48700000000000004,0.114,0.27399999999999997,0.14800000000000002,1.023,31.421999999999997,0.0
4.009,0.912,0.487,0.111,0.275,0.146,1.019,26.54,0.0
4.002,0.91,0.493,0.11,0.28,0.145,1.027,26.518,0.0
3.981,0.91,0.479,0.108,0.281,0.142,1.01,26.916,0.0
3.982,0.914,0.46,0.108,0.275,0.142,0.984,26.91,0.0
4.01,0.917,0.433,0.105,0.267,0.141,0.946,27.316,0.0
